"nome_cientifico","listavermelha","port443","inmma2014","port561","portmma_148_2022","volume","uf","ano"
hymenaea parvifolia,VU,VU,,VU,VU,1589.061000000000001,MT,2016.0
tabebuia cassinoides,EN,EN,,EN,VU,69.0980,PA,2013.0
apuleia leiocarpa,VU,VU,,VU,VU,95865.9090999999999984,MT,2013.0
ocotea odorifera,EN,EN,,EN,EN,1027.9462,MT,2020.0
amburana acreana,VU,VU,,,VU,6692.4706,RO,2012.0
ocotea odorifera,EN,EN,,EN,EN,1.625,RR,2009.0
hymenaea parvifolia,VU,VU,,VU,VU,32.247,RR,2007.0
aniba rosaeodora,EN,EN,CR,EN,,70.362,MT,2011.0
aniba rosaeodora,EN,EN,CR,EN,,120.9584,MT,2019.0
swietenia macrophylla,VU,VU,CR,VU,VU,81.503,RR,2008.0
eriotheca longipedicellata,,,,,VU,434.432900000000001,AC,2014.0
peltogyne paradoxa,,,,,VU,110.000,MT,2018.0
cedrela fissilis,VU,VU,VU,VU,VU,54.2,RO,2007.0
cedrela odorata,VU,VU,VU,VU,VU,15302.6514,PA,2011.0
vochysia mapuerae,,,,,VU,92.167,AP,2014.0
cedrela odorata,VU,VU,VU,VU,VU,10147.7316,MT,2015.0
vouacapoua americana,EN,EN,,EN,EN,1071.5041,RO,2013.0
erisma fuscum,,,,,EN,429.0535,PA,2010.0
eriotheca longipedicellata,,,,,VU,2230.1250,PA,2007.0
vismia parviflora,,,,,EN,5.34,RO,2013.0
mezilaurus itauba,VU,VU,,VU,VU,39018.1579,PA,2012.0
diplotropis rodriguesii,,,,,VU,88.2523,RO,2019.0
amburana acreana,VU,VU,,,VU,4726.15310000000001408,AC,2009.0
cedrela odorata,VU,VU,VU,VU,VU,5173.96519999999998693,AC,2018.0
mezilaurus itauba,VU,VU,,VU,VU,61.965199999999999,AC,2017.0
virola surinamensis,VU,VU,,VU,VU,895.3262,PA,2008.0
euxylophora paraensis,CR,CR,,CR,EN,221.923999999999998,AP,2018.0
vouacapoua americana,EN,EN,,EN,EN,424.355,AP,2007.0
ocotea fragrantissima,,,,,EN,2215.5498,PA,2019.0
cedrela fissilis,VU,VU,VU,VU,VU,214.3620,PA,2009.0
ocotea fragrantissima,,,,,EN,181.0408,AM,2018.0
mezilaurus itauba,VU,VU,,VU,VU,111.8493000000000049,AC,2019.0
terminalia acuminata,EN,EN,,,EN,60.9530,PA,2010.0
vochysia mapuerae,,,,,VU,92.167000000000001,AP,2013.0
cedrela fissilis,VU,VU,VU,VU,VU,1406.9810,PA,2012.0
cedrela fissilis,VU,VU,VU,VU,VU,44.2623,RO,2015.0
erisma fuscum,,,,,EN,713.217800000000001,AM,2019.0
lafoensia glyptocarpa,,,,,EN,22.934,RO,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,1627.406,MT,2013.0
hymenolobium excelsum,VU,VU,,VU,VU,2715.7830000000000097,AM,2008.0
peltogyne paradoxa,,,,,VU,2904.8316999999999912,PA,2018.0
couratari asterotricha,EN,EN,,,EN,520.0730,PA,2013.0
virola surinamensis,VU,VU,,VU,VU,16.1201,AC,2019.0
hymenolobium excelsum,VU,VU,,VU,VU,10436.8529000000000047,AM,2020.0
apuleia leiocarpa,VU,VU,,VU,VU,8548.80849999999998682,AC,2015.0
pradosia kuhlmannii,EN,EN,,,EN,2248.2310,PA,2010.0
eriotheca longipedicellata,,,,,VU,1421.5881999999999957,AC,2012.0
amburana acreana,VU,VU,,,VU,4726.3672000000000049,AC,2013.0
cariniana legalis,EN,EN,,EN,EN,2631.0090,MT,2007.0
cedrela odorata,VU,VU,VU,VU,VU,7908.6776999999999919,RO,2020.0
cedrela odorata,VU,VU,VU,VU,VU,18053.9230,RO,2014.0
cedrela odorata,VU,VU,VU,VU,VU,20641.6036,MT,2007.0
xylopia brasiliensis,,,,,VU,17.593,MT,2019.0
hymenaea parvifolia,VU,VU,,VU,VU,75.4079999999999981,AC,2019.0
terminalia acuminata,EN,EN,,,EN,31.1436,RO,2014.0
vochysia eximia,,,,,VU,701.8122,PA,2009.0
swietenia macrophylla,VU,VU,CR,VU,VU,12.736,RO,2011.0
hymenolobium excelsum,VU,VU,,VU,VU,13895.7486,MT,2006.0
cariniana legalis,EN,EN,,EN,EN,335.0140,PA,2011.0
apuleia leiocarpa,VU,VU,,VU,VU,3974.9950000000000060,AC,2007.0
euplassa cantareirae,EN,EN,,,EN,105.6290,PA,2019.0
peltogyne paradoxa,,,,,VU,6.400,AC,2019.0
ocotea fragrantissima,,,,,EN,2725.9649999999999928,AM,2007.0
erisma fuscum,,,,,EN,484.359199999999999,RO,2015.0
mezilaurus itauba,VU,VU,,VU,VU,369.5387000000000039,AC,2010.0
euxylophora paraensis,CR,CR,,CR,EN,94.8519999999999992,RR,2010.0
cedrela fissilis,VU,VU,VU,VU,VU,34.2580,RO,2018.0
hymenaea parvifolia,VU,VU,,VU,VU,74.8779999999999997,PA,2009.0
swietenia macrophylla,VU,VU,CR,VU,VU,1264.7349999999999995,PA,2019.0
cariniana legalis,EN,EN,,EN,EN,1340.750,MT,2008.0
apuleia leiocarpa,VU,VU,,VU,VU,3636.2878,RO,2016.0
centrolobium paraense,EN,EN,,EN,EN,68.104,RR,2008.0
hymenolobium excelsum,VU,VU,,VU,VU,187.220800000000001,RR,2020.0
qualea magna,EN,EN,,,EN,122.333,MT,2006.0
swietenia macrophylla,VU,VU,CR,VU,VU,87.898,RR,2009.0
vochysia eximia,,,,,VU,121.7980,PA,2010.0
mezilaurus itauba,VU,VU,,VU,VU,14111.5690999999999741,AM,2016.0
erisma fuscum,,,,,EN,3.8611,RR,2019.0
buchenavia parvifolia,,VU,,,,4.426,AC,2009.0
lafoensia glyptocarpa,,,,,EN,489.968,MT,2020.0
apuleia leiocarpa,VU,VU,,VU,VU,14178.62099999999994777,AC,2012.0
hymenaea parvifolia,VU,VU,,VU,VU,336.8801000000000003,PA,2011.0
apuleia leiocarpa,VU,VU,,VU,VU,12833.67460000000000215,AC,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,192.292000000000002,AP,2012.0
cedrela fissilis,VU,VU,VU,VU,VU,910.5880,PA,2013.0
lafoensia glyptocarpa,,,,,EN,750.4233,PA,2012.0
cedrela odorata,VU,VU,VU,VU,VU,384.2158000000000025,AM,2014.0
lafoensia glyptocarpa,,,,,EN,287.7950,PA,2013.0
aldina heterophylla,,,,,VU,1.758,AM,2015.0
mezilaurus itauba,VU,VU,,VU,VU,2258.1881000000000096,RO,2020.0
swietenia macrophylla,VU,VU,CR,VU,VU,56.9069,AM,2018.0
amburana acreana,VU,VU,,,VU,10813.16719999999999299,AC,2019.0
couratari asterotricha,EN,EN,,,EN,43.682,RO,2013.0
cedrela odorata,VU,VU,VU,VU,VU,3795.01540000000000477,AC,2017.0
peltogyne paradoxa,,,,,VU,2399.2578,PA,2014.0
euxylophora paraensis,CR,CR,,CR,EN,15790.4182,PA,2013.0
hymenolobium excelsum,VU,VU,,VU,VU,3342.2407999999999947,AM,2013.0
couratari asterotricha,EN,EN,,,EN,607.9230,PA,2015.0
peltogyne paradoxa,,,,,VU,830.4451,PA,2013.0
vochysia rufescens,,,,,VU,8891.6157,MT,2020.0
amburana acreana,VU,VU,,,VU,812.4119999999999957,AM,2007.0
cedrela odorata,VU,VU,VU,VU,VU,5925.28009999999999845,AC,2013.0
euxylophora paraensis,CR,CR,,CR,EN,10.226,MT,2013.0
virola surinamensis,VU,VU,,VU,VU,688.479999999999996,AP,2008.0
hymenolobium excelsum,VU,VU,,VU,VU,179.7139999999999985,AC,2017.0
apuleia leiocarpa,VU,VU,,VU,VU,173674.128399999999991,MT,2020.0
ocotea fragrantissima,,,,,EN,35.698000000000001,AM,2020.0
mezilaurus itauba,VU,VU,,VU,VU,209200.6348,MT,2012.0
terminalia acuminata,EN,EN,,,EN,43.8020,RO,2012.0
buchenavia parvifolia,,VU,,,,149.046,MT,2012.0
peltogyne paradoxa,,,,,VU,5.61,AP,2016.0
hymenolobium excelsum,VU,VU,,VU,VU,12756.6028,PA,2009.0
